raceId,driverId,lap,position,time,milliseconds
1098,830,1,1,1:39.019,99019
1098,830,2,1,1:37.974,97974
1098,830,3,1,1:38.006,98006
1098,830,4,1,1:37.976,97976
1098,830,5,1,1:38.035,98035
1098,830,6,1,1:37.986,97986
1098,830,7,1,1:38.021,98021
1098,830,8,1,1:38.154,98154
1098,830,9,1,1:38.278,98278
1098,830,10,1,1:38.369,98369
1098,830,11,1,1:38.483,98483
1098,830,12,1,1:38.591,98591
1098,830,13,1,1:38.482,98482
1098,830,14,1,1:41.295,101295
1098,830,15,2,1:58.378,118378
1098,830,16,2,1:37.801,97801
1098,830,17,2,1:37.648,97648
1098,830,18,1,1:37.614,97614
1098,830,19,1,1:37.712,97712
1098,830,20,1,1:37.788,97788
1098,830,21,1,1:37.582,97582
1098,830,22,1,1:37.651,97651
1098,830,23,1,1:37.552,97552
1098,830,24,1,1:37.387,97387
1098,830,25,1,1:37.372,97372
1098,830,26,1,1:37.682,97682
1098,830,27,1,1:37.379,97379
1098,830,28,1,1:37.651,97651
1098,830,29,1,1:37.571,97571
1098,830,30,1,1:37.549,97549
1098,830,31,1,1:37.431,97431
1098,830,32,1,1:37.691,97691
1098,830,33,1,1:37.686,97686
1098,830,34,1,1:37.839,97839
1098,830,35,1,1:37.850,97850
1098,830,36,1,1:40.964,100964
1098,830,37,1,1:58.490,118490
1098,830,38,1,1:36.297,96297
1098,830,39,1,1:36.446,96446
1098,830,40,1,1:36.942,96942
1098,830,41,1,2:00.495,120495
1098,830,42,1,1:44.824,104824
1098,830,43,1,1:36.890,96890
1098,830,44,1,1:36.236,96236
1098,830,45,1,1:37.015,97015
1098,830,46,1,1:36.701,96701
1098,830,47,1,1:37.009,97009
1098,830,48,1,1:36.918,96918
1098,830,49,1,1:36.962,96962
1098,830,50,1,1:37.250,97250
1098,830,51,1,1:37.427,97427
1098,830,52,1,1:36.919,96919
1098,830,53,1,1:36.890,96890
1098,830,54,1,1:36.678,96678
1098,830,55,1,1:36.322,96322
1098,830,56,1,1:37.205,97205
1098,830,57,1,1:36.373,96373
1098,844,1,2,1:40.230,100230
1098,844,2,2,1:38.750,98750
1098,844,3,2,1:38.658,98658
1098,844,4,2,1:38.825,98825
1098,844,5,2,1:38.664,98664
1098,844,6,2,1:38.572,98572
1098,844,7,2,1:38.691,98691
1098,844,8,2,1:38.614,98614
1098,844,9,2,1:38.828,98828
1098,844,10,2,1:39.073,99073
1098,844,11,2,1:39.212,99212
1098,844,12,2,1:39.489,99489
1098,844,13,3,1:42.068,102068
1098,844,14,5,1:58.770,118770
1098,844,15,3,1:38.477,98477
1098,844,16,3,1:37.953,97953
1098,844,17,3,1:38.031,98031
1098,844,18,2,1:37.798,97798
1098,844,19,2,1:37.858,97858
1098,844,20,2,1:37.631,97631
1098,844,21,2,1:37.753,97753
1098,844,22,2,1:38.162,98162
1098,844,23,2,1:38.054,98054
1098,844,24,2,1:37.972,97972
1098,844,25,2,1:38.541,98541
1098,844,26,3,1:39.668,99668
1098,844,27,3,1:38.814,98814
1098,844,28,3,1:38.618,98618
1098,844,29,3,1:38.447,98447
1098,844,30,3,1:38.390,98390
1098,844,31,3,1:38.746,98746
1098,844,32,3,1:38.948,98948
1098,844,33,3,1:41.323,101323
1098,844,34,4,1:59.477,119477
1098,844,35,3,1:38.073,98073
1098,844,36,3,1:37.313,97313
1098,844,37,3,1:37.170,97170
1098,844,38,3,1:37.170,97170
1098,844,39,3,1:37.287,97287
1098,815,1,3,1:41.063,101063
1098,815,2,3,1:38.862,98862
1098,815,3,3,1:38.830,98830
1098,815,4,3,1:38.758,98758
1098,815,5,3,1:38.404,98404
1098,815,6,3,1:38.718,98718
1098,815,7,3,1:38.804,98804
1098,815,8,3,1:39.172,99172
1098,815,9,3,1:38.914,98914
1098,815,10,3,1:39.085,99085
1098,815,11,3,1:39.249,99249
1098,815,12,3,1:39.197,99197
1098,815,13,2,1:39.336,99336
1098,815,14,2,1:38.739,98739
1098,815,15,1,1:38.608,98608
1098,815,16,1,1:38.770,98770
1098,815,17,1,1:41.360,101360
1098,815,18,3,1:58.797,118797
1098,815,19,3,1:37.659,97659
1098,815,20,3,1:37.448,97448
1098,815,21,3,1:37.240,97240
1098,815,22,3,1:37.169,97169
1098,815,23,3,1:37.304,97304
1098,815,24,3,1:37.352,97352
1098,815,25,3,1:38.418,98418
1098,815,26,2,1:37.454,97454
1098,815,27,2,1:37.387,97387
1098,815,28,2,1:37.211,97211
